2010 Federal Election Senate Group Voting Tickets [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:59 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
State,OwnerGroupID,OwnerGroupNm,OwnerTicket,TicketNo,CandidateID,CandidateTicket,Surname,GivenNm,BallotPosition,PartyAb,PartyNm,PreferenceNo
NSW,932,Socialist Alliance,A,1,21446,A,EVANS,Rachel,1,SAL,Socialist Alliance,1
NSW,932,Socialist Alliance,A,1,21449,A,ISKANDER,Soubhi,2,SAL,Socialist Alliance,2
NSW,932,Socialist Alliance,A,1,22023,B,HODGES,Robert,1,,,63
NSW,932,Socialist Alliance,A,1,22024,B,FRIER,Bob,2,,,64
NSW,932,Socialist Alliance,A,1,21904,C,ROBINSON,Tony,1,,,65
NSW,932,Socialist Alliance,A,1,21798,E,BROWN,Ray,1,BAP,Building Australia,47
NSW,932,Socialist Alliance,A,1,21799,E,O'DONNELL,Michael,2,BAP,Building Australia,48
NSW,932,Socialist Alliance,A,1,21733,J,CLANCY,Fiona,1,DEM,Australian Democrats,26
NSW,932,Socialist Alliance,A,1,21736,J,MITCHELL,Jen,2,DEM,Australian Democrats,27
NSW,932,Socialist Alliance,A,1,21127,M,KOUTALIANOS,Bill,1,TCS,The Climate Sceptics,49
NSW,932,Socialist Alliance,A,1,21134,M,BROWN,Geoffrey,2,TCS,The Climate Sceptics,50
NSW,932,Socialist Alliance,A,1,21018,W,HUTCHINS,Steve,3,ALP,Labor,16
NSW,932,Socialist Alliance,A,1,21020,W,MURNAIN,Anne,4,ALP,Labor,17
NSW,932,Socialist Alliance,A,1,21022,W,SEATON,Fiona,5,ALP,Labor,18
NSW,932,Socialist Alliance,A,1,21025,W,McDERMOTT,Hugh,6,ALP,Labor,19
